Format Version,1.23,Take Name,Take 2024-09-30 02.17.04 PM_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-09-30 02.27.27.419 PM,Total Frames in Take,23631,Total Exported Frames,23631,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B
,ID,"C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
114,0.316667,0.022950,0.810832,-0.010091,-0.584743,0.020583,0.005456,-0.048939,0.001325
115,0.319444,0.023704,0.810557,-0.007542,-0.585132,0.017330,0.005128,-0.051529,0.000589
116,0.322222,0.023066,0.810713,-0.009768,-0.584907,0.020151,0.005413,-0.049276,0.001305
117,0.325000,0.023750,0.810445,-0.007264,-0.585287,0.017026,0.005090,-0.051868,0.000611
118,0.327778,,,,,,,,
119,0.330556,0.024390,0.810216,-0.005087,-0.585602,0.014251,0.004811,-0.054079,0.000584
120,0.333333,0.023610,0.810415,-0.007696,-0.585330,0.017598,0.005150,-0.051465,0.001317
121,0.336111,0.024223,0.810380,-0.005587,-0.585378,0.014903,0.004870,-0.053565,0.000823
122,0.338889,0.024758,0.810340,-0.003768,-0.585424,0.012572,0.004632,-0.055370,0.000831
123,0.341667,0.025241,0.810300,-0.002189,-0.585468,0.010524,0.004424,-0.056923,0.000839
124,0.344444,,,,,,,,
125,0.347222,0.025629,0.810259,-0.000860,-0.585510,0.008825,0.004252,-0.058245,0.000847
126,0.350000,0.025917,0.810239,0.000282,-0.585526,0.007423,0.004102,-0.059428,0.000817
127,0.352778,0.024945,0.810466,-0.003043,-0.585247,0.011667,0.004529,-0.056082,0.001334
128,0.355556,0.024097,0.810651,-0.006060,-0.585002,0.015478,0.004923,-0.053013,0.001335
129,0.358333,0.024645,0.810583,-0.004222,-0.585089,0.013114,0.004686,-0.054841,0.000832
130,0.361111,,,,,,,,
131,0.363889,0.025138,0.810336,-0.002586,-0.585421,0.011019,0.004470,-0.056510,0.000588
132,0.366667,0.025530,0.810309,-0.001234,-0.585446,0.009291,0.004294,-0.057859,0.000834
133,0.369444,0.024617,0.810515,-0.004399,-0.585183,0.013313,0.004701,-0.054661,0.001309
134,0.372222,0.025087,0.810465,-0.002810,-0.585243,0.011276,0.004497,-0.056240,0.000836
135,0.375000,0.024209,0.810653,-0.005737,-0.584998,0.015038,0.004875,-0.053319,0.001335
136,0.377778,0.023479,0.810787,-0.008343,-0.584810,0.018327,0.005215,-0.050676,0.001284
137,0.380556,0.024090,0.810698,-0.006224,-0.584936,0.015629,0.004941,-0.052801,0.000832
138,0.383333,0.024597,0.810615,-0.004434,-0.585046,0.013362,0.004708,-0.054608,0.000860
139,0.386111,0.025037,0.810542,-0.002857,-0.585139,0.011374,0.004502,-0.056204,0.000836
140,0.388889,,,,,,,,
141,0.391667,0.024158,0.810708,-0.005896,-0.584922,0.015244,0.004899,-0.053143,0.001301
142,0.394444,0.024725,0.810452,-0.004036,-0.585269,0.012853,0.004662,-0.055027,0.000583
143,0.397222,0.025165,0.810400,-0.002528,-0.585331,0.010925,0.004467,-0.056532,0.000850
144,0.400000,0.024256,0.810596,-0.005637,-0.585076,0.014894,0.004873,-0.053404,0.001348
145,0.402778,0.023495,0.810758,-0.008338,-0.584850,0.018307,0.005225,-0.050657,0.001305
146,0.405556,,,,,,,,
147,0.408333,0.024114,0.810680,-0.006254,-0.584960,0.015633,0.004956,-0.052734,0.000835
148,0.411111,0.024637,0.810603,-0.004432,-0.585061,0.013314,0.004723,-0.054569,0.000868
149,0.413889,0.025105,0.810357,-0.002782,-0.585392,0.011237,0.004510,-0.056280,0.000583
150,0.416667,0.024203,0.810551,-0.005876,-0.585138,0.015182,0.004912,-0.053165,0.001296
151,0.419444,0.023441,0.810719,-0.008524,-0.584904,0.018545,0.005253,-0.050491,0.001329
152,0.422222,0.024041,0.810648,-0.006400,-0.585005,0.015857,0.004976,-0.052636,0.000845
153,0.425000,0.023302,0.810806,-0.008997,-0.584781,0.019145,0.005310,-0.050004,0.001277
154,0.427778,0.022644,0.810930,-0.011203,-0.584598,0.021978,0.005595,-0.047796,0.001313
155,0.430556,0.023436,0.810662,-0.008611,-0.584982,0.018638,0.005262,-0.050405,0.000582
156,0.433333,0.024053,0.810597,-0.006456,-0.585075,0.015897,0.004984,-0.052568,0.000856
157,0.436111,,,,,,,,
158,0.438889,0.024573,0.810529,-0.004607,-0.585165,0.013560,0.004744,-0.054435,0.000847
159,0.441667,0.025070,0.810470,-0.002990,-0.585236,0.011460,0.004536,-0.056027,0.000839
160,0.444444,0.025460,0.810424,-0.001618,-0.585289,0.009716,0.004355,-0.057407,0.000833
161,0.447222,0.024425,0.810601,-0.004979,-0.585068,0.014082,0.004797,-0.054079,0.001330
162,0.450000,0.023661,0.810765,-0.007639,-0.584844,0.017458,0.005137,-0.051388,0.001316
163,0.452778,0.022909,0.810895,-0.010076,-0.584656,0.020619,0.005455,-0.048979,0.001335
164,0.455556,,,,,,,,
165,0.458333,0.022337,0.811015,-0.012074,-0.584474,0.023152,0.005710,-0.046957,0.001307
166,0.461111,0.023125,0.810913,-0.009458,-0.584634,0.019780,0.005370,-0.049558,0.000836
167,0.463889,0.023775,0.810813,-0.007204,-0.584778,0.016910,0.005073,-0.051825,0.000830
168,0.466667,0.024372,0.810729,-0.005236,-0.584890,0.014368,0.004817,-0.053777,0.000844
169,0.469444,0.024873,0.810471,-0.003438,-0.585240,0.012119,0.004589,-0.055650,0.000578
170,0.472222,0.025316,0.810426,-0.001972,-0.585291,0.010224,0.004400,-0.057101,0.000838
171,0.475000,0.024389,0.810613,-0.005134,-0.585052,0.014264,0.004811,-0.053927,0.001292
172,0.477778,0.024891,0.810550,-0.003456,-0.585130,0.012104,0.004593,-0.055592,0.000828
173,0.480556,0.024008,0.810704,-0.006467,-0.584928,0.015956,0.004987,-0.052570,0.001294
174,0.483333,,,,,,,,
175,0.486111,0.023259,0.810857,-0.008989,-0.584713,0.019187,0.005308,-0.050039,0.001307
176,0.488889,0.023874,0.810761,-0.006804,-0.584851,0.016425,0.005022,-0.052251,0.000844
177,0.491667,0.023158,0.810893,-0.009256,-0.584663,0.019557,0.005339,-0.049788,0.001311
178,0.494444,0.022524,0.810981,-0.011462,-0.584526,0.022363,0.005631,-0.047565,0.001300
179,0.497222,,,,,,,,
180,0.500000,0.023281,0.810879,-0.008892,-0.584683,0.019071,0.005299,-0.050137,0.000813
181,0.502778,0.023930,0.810777,-0.006707,-0.584828,0.016264,0.005016,-0.052321,0.000861
182,0.505556,0.024526,0.810694,-0.004789,-0.584936,0.013764,0.004770,-0.054210,0.000821
183,0.508333,0.023715,0.810826,-0.007514,-0.584759,0.017267,0.005120,-0.051489,0.001314
184,0.511111,0.023019,0.810940,-0.009842,-0.584594,0.020259,0.005419,-0.049168,0.001283
185,0.513889,,,,,,,,
186,0.516667,,,,,,,,
187,0.519444,0.023197,0.810920,-0.009256,-0.584623,0.019503,0.005344,-0.049741,0.000832
188,0.522222,0.022576,0.811026,-0.011386,-0.584464,0.022223,0.005621,-0.047600,0.001304
189,0.525000,0.023310,0.810909,-0.008805,-0.584641,0.018951,0.005289,-0.050210,0.000833
190,0.527778,0.023959,0.810805,-0.006570,-0.584789,0.016098,0.005000,-0.052452,0.000826
191,0.530556,0.024518,0.810705,-0.004635,-0.584923,0.013636,0.004750,-0.054404,0.000821
192,0.533333,0.025001,0.810442,-0.002881,-0.585278,0.011448,0.004526,-0.056235,0.000578
193,0.536111,0.024200,0.810644,-0.005749,-0.585011,0.015058,0.004892,-0.053312,0.001324
194,0.538889,0.023439,0.810790,-0.008309,-0.584809,0.018340,0.005225,-0.050754,0.001294
195,0.541667,0.022773,0.810913,-0.010600,-0.584628,0.021261,0.005523,-0.048447,0.001313
196,0.544444,,,,,,,,
197,0.547222,0.023495,0.810804,-0.008118,-0.584790,0.018092,0.005201,-0.050939,0.000851
198,0.550000,0.024104,0.810715,-0.005986,-0.584913,0.015385,0.004927,-0.053088,0.000862
199,0.552778,0.024630,0.810629,-0.004168,-0.585028,0.013070,0.004688,-0.054914,0.000856
200,0.555556,0.025093,0.810383,-0.002525,-0.585357,0.011008,0.004469,-0.056621,0.000591
201,0.558333,0.024210,0.810564,-0.005519,-0.585123,0.014841,0.004857,-0.053622,0.001300
202,0.561111,,,,,,,,
203,0.563889,0.023453,0.810732,-0.008182,-0.584890,0.018212,0.005205,-0.050920,0.001290
204,0.566667,0.024045,0.810653,-0.006061,-0.585002,0.015535,0.004928,-0.053067,0.000839
205,0.569444,0.023366,0.810820,-0.008506,-0.584768,0.018604,0.005238,-0.050570,0.001298
206,0.572222,0.022762,0.810958,-0.010660,-0.584565,0.021319,0.005516,-0.048375,0.001304
207,0.575000,0.023506,0.810673,-0.008118,-0.584971,0.018084,0.005188,-0.050970,0.000586
208,0.577778,0.024149,0.810596,-0.006013,-0.585077,0.015359,0.004917,-0.053049,0.000844
209,0.580556,0.023380,0.810752,-0.008609,-0.584860,0.018685,0.005255,-0.050444,0.001308
210,0.583333,0.022720,0.810887,-0.010847,-0.584661,0.021546,0.005545,-0.048192,0.001320
211,0.586111,0.023444,0.810791,-0.008346,-0.584807,0.018357,0.005224,-0.050702,0.000839
212,0.588889,0.024082,0.810702,-0.006192,-0.584930,0.015594,0.004947,-0.052853,0.000831
213,0.591667,,,,,,,,
214,0.594444,0.024643,0.810619,-0.004333,-0.585039,0.013196,0.004705,-0.054697,0.000832
215,0.597222,0.025078,0.810545,-0.002721,-0.585133,0.011184,0.004497,-0.056345,0.000843
216,0.600000,0.025465,0.810294,-0.001270,-0.585468,0.009390,0.004302,-0.057876,0.000578
217,0.602778,0.025829,0.810087,-0.000004,-0.585740,0.007794,0.004141,-0.059187,0.000568
218,0.605556,,,,,,,,
219,0.608333,0.026111,0.810091,0.000986,-0.585722,0.006532,0.004013,-0.060176,0.000830
220,0.611111,0.025039,0.810329,-0.002662,-0.585434,0.011200,0.004493,-0.056507,0.001320
